"sample.id","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long","Combined_Key","temp.min","temp.max","temp.ave","d.temp.range","temp.seasonality","precipitation","precipitation.seasonality","aridity","solar.rad","wind.speed","water.vapor.pressure","humidity","elevation","warming.velocity","human.footprint","gdp.per.capita","human.dev.index","population.density","pm25"
"US_1",16,"AS","ASM",16,60,"","American Samoa","US",-14.271,-170.132,"American Samoa, US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US_2",316,"GU","GUM",316,66,"","Guam","US",13.4443,144.7937,"Guam, US",23.4020262631503,29.2826914353804,26.3394355773926,5.88066517223011,56.239613272927,75,53.1255604137074,12578.1462264151,17291.7272727273,5.50089957497337,2.71101489934054,0.790551000672835,70,41088.6332059413,73.9695431472081,NA,NA,591.022417704264,0.401075274713578
"US_3",580,"MP","MNP",580,69,"","Northern Mariana Islands","US",15.0979,145.6739,"Northern Mariana Islands, US",24.8375621371799,30.4482930501302,27.6514250437419,5.6107309129503,69.1414328681098,88.8888888888889,56.1908289591471,11285.376344086,18514.2222222222,5.50986708535088,2.8609857029385,0.772437851101384,43.7777777777778,45281.8180619483,58.8732394366197,NA,NA,312.578532112969,0.485294118523598
"US_4",630,"PR","PRI",630,72,"","Puerto Rico","US",18.2208,-66.5901,"Puerto Rico, US",14.372000013079,26.0402856554304,20.2054285321917,11.6682856423514,136.946171351842,82.5,45.2528634752546,12918.1148825065,19600.5714285714,3.55685709203993,1.85208570957184,0.781395920430917,630,10889.7225268741,49.8423772609819,25275.21484375,0.697415053844452,84.6692228317261,1.27007573843002
"US_5",850,"VI","VIR",850,78,"","Virgin Islands","US",18.3358,-64.8963,"Virgin Islands, US",22.1798773678866,29.2765887867321,25.7300846793435,7.09671141884544,120.728535045277,72.9090909090909,35.9464485862038,5455.60227272727,22268.1818181818,4.35867071151733,2.39712199297818,0.724607131792911,59.2727272727273,48694.7236235699,67.9041095890411,12241.60546875,NA,577.631071237417,0.560689667586623
"US_6",84001001,"US","USA",840,1001,"Autauga","Alabama","US",32.53952745,-86.64408227,"Autauga, Alabama, US",10.2719999551773,24.3682496547699,17.3210000991821,14.0962496995926,720.804397583008,126.3125,20.8561453819275,9016.24711316397,19366.875,2.8029999434948,1.25997499376535,0.637239570816716,119.9375,798522.956678815,31.9078341013825,29909.263671875,0.750867545604706,19.1877643764019,9.14389434663376
"US_7",84001003,"US","USA",840,1003,"Baldwin","Alabama","US",30.72774991,-87.72207058,"Baldwin, Alabama, US",12.1178947749891,25.1058948918393,18.6113685808684,12.9880001168502,645.028570877878,114.684210526316,19.8810962877775,10637.2183098592,19790.2105263158,3.40631579097949,1.48677896198473,0.693336363291968,51.4736842105263,842872.803463823,28.4070588235294,29909.263671875,0.750867545604706,20.1050011052897,7.33141895081546
"US_8",84001005,"US","USA",840,1005,"Barbour","Alabama","US",31.868263,-85.3871286,"Barbour, Alabama, US",10.37999977785,24.539529800415,17.4599997576545,14.1595300225651,684.653284409467,99.3529411764706,22.2753891664393,8501.27314814815,19887.3529411765,2.87600006776698,1.2720705761629,0.637732397965637,147.705882352941,1329659.77015655,31.553738317757,29909.263671875,0.750867545604706,10.9090326603721,8.63666664441427
"US_9",84001007,"US","USA",840,1007,"Bibb","Alabama","US",32.99642064,-87.1251146,"Bibb, Alabama, US",9.29688882827759,23.9244445164998,16.6088890499539,14.6275556882222,744.768276638455,123.222222222222,18.182636472914,9647.86529680365,19234.5,2.90022231472863,1.2437777850363,0.658080099323286,111.166666666667,920396.428352596,33.7922374429224,29909.263671875,0.750867545604706,34.0696762005488,9.18910893355266
"US_10",84001009,"US","USA",840,1009,"Blount","Alabama","US",33.98210918,-86.56790593,"Blount, Alabama, US",7.79789477900455,22.7004210823461,15.2479999943783,14.9025263033415,769.766164679276,135.578947368421,19.386483343024,10098.3529411765,18735.4210526316,3.05368415932906,1.1453263069454,0.661001299178041,229.315789473684,780221.724183374,30.1715575620767,29909.263671875,0.750867545604706,46.5262454685412,8.80679606774092
"US_11",84001011,"US","USA",840,1011,"Bullock","Alabama","US",32.10030533,-85.71265535,"Bullock, Alabama, US",10.3430588666131,24.6305880827062,17.4861176434685,14.2875292160932,696.732016170726,110.764705882353,20.3277658574721,8945.61059907834,19668,2.79999995231628,1.26277645195232,0.632037218222611,142.176470588235,1179922.04898321,31.5674418604651,29909.263671875,0.750867545604706,22.5069779613439,8.67840530230754
"US_12",84001013,"US","USA",840,1013,"Butler","Alabama","US",31.75300095,-86.68057478,"Butler, Alabama, US",10.3127059375539,24.9917647417854,17.6487064361572,14.6790588042315,686.236335305607,113.764705882353,21.3607954137466,9383.50819672131,19678.8235294118,2.79999995231628,1.30990585860084,0.648937889127966,112.941176470588,1914738.13739924,29.1869158878505,29909.263671875,0.750867545604706,21.9330154403168,8.49023557592321
"US_13",84001015,"US","USA",840,1015,"Calhoun","Alabama","US",33.77483727,-85.82630386,"Calhoun, Alabama, US",8.437411700978,23.0192941777846,15.7240000893088,14.5818824768066,756.929942411535,132.294117647059,19.8261418062098,9725.4,18864.6470588235,2.62070580089793,1.1425176227794,0.639562360768589,229.764705882353,1030939.56268958,56.3318181818182,29909.263671875,0.750867545604706,149.12423843496,9.06843850778979
"US_14",84001017,"US","USA",840,1017,"Chambers","Alabama","US",32.91360079,-85.39072749,"Chambers, Alabama, US",8.60423536861644,23.6160002315746,16.1094123615938,15.0117648629581,720.210424086627,127.529411764706,21.8777549968046,9556.44827586207,19344.0588235294,2.58282345883987,1.18251762670629,0.645884625420596,236.823529411765,1807254.33981767,31.6013667425968,29909.263671875,0.750867545604706,14.0002456973581,8.46393445124392
"US_15",84001019,"US","USA",840,1019,"Cherokee","Alabama","US",34.17805983,-85.60638968,"Cherokee, Alabama, US",8.06711117426554,22.9859999550713,15.5255557696025,14.9188887808058,778.654045952691,135.444444444444,19.5274084938897,10185.2222222222,18734.4444444444,2.52022221353319,1.1306444340282,0.641046472986618,177.611111111111,4447078.8459829,42.7800453514739,29909.263671875,0.750867545604706,49.6101750797696,9.3334482784929
