"sample.id","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"US_1","16","AS","ASM","16","60","","American Samoa","US","-14.271","-170.132","American Samoa, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_2","316","GU","GUM","316","66","","Guam","US","13.4443","144.7937","Guam, US","6","0.0472169601109704","0.00622330495703291","111.3792728053","1.42142142142142","1.91191191191191","1.64164164164164","0.0532361669793171","1.31790333217369","1.48182032323894","1.3671653472084","1.70343714959084","2.24173459802582","1.84097157937805","84","2020-03-24","2020-04-06","14"
"US_3","580","MP","MNP","580","69","","Northern Mariana Islands","US","15.0979","145.6739","Northern Mariana Islands, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_4","630","PR","PRI","630","72","","Puerto Rico","US","18.2208","-66.5901","Puerto Rico, US","32.6666666666667","0.8343219511083","0.139281591407847","4.97658860409095","1.42142142142142","2.002002002002","1.69169169169169","0.115009550384381","1.78349064949949","2.18173291784379","1.88735902684375","1.85194226675799","2.53224780564237","2.02803003833653","490","2020-03-23","2020-04-06","15"
"US_5","850","VI","VIR","850","78","","Virgin Islands","US","18.3358","-64.8963","Virgin Islands, US","2.5","-0.691799450502585","-0.259320748403038","Inf","0.990990990990991","1.48148148148148","1.23123123123123","-0.0766744724529719","0.654093823787485","0.49298106942585","0.592299485878943","1.46463682661298","2.05083835924825","1.58101391283711","20","2020-03-30","2020-04-06","8"
"US_6","84001001","US","USA","840","1001","Autauga","Alabama","US","32.53952745","-86.64408227","Autauga, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_7","84001003","US","USA","840","1003","Baldwin","Alabama","US","30.72774991","-87.72207058","Baldwin, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","9","2020-04-06","2020-04-06","1"
"US_8","84001005","US","USA","840","1005","Barbour","Alabama","US","31.868263","-85.3871286","Barbour, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_9","84001007","US","USA","840","1007","Bibb","Alabama","US","32.99642064","-87.1251146","Bibb, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_10","84001009","US","USA","840","1009","Blount","Alabama","US","33.98210918","-86.56790593","Blount, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
